Nominee_Id,Nominee_FirstName,Nominee_LastName,Nominee_birthdate
1,Ethan,Rossi,1966-09-24
2,Lea,Robinson,1996-05-07
3,Elliot,Russo,1948-05-23
4,Benjamin,Park,1967-09-23
5,Ishan,Harris,1961-04-24
6,Evelyn,Suzuki,1965-06-27
7,Sophia,Moreau,1982-11-12
8,Parker,Watanabe,1976-02-05
9,Hugo,Watanabe,1949-02-16
10,Mila,Smith,1961-01-07
11,Noe,Bianchi,1973-09-20
12,Noah,Petit,1991-02-21
13,Sophia,Choi,1946-05-20
14,Taylor,Taylor,1998-03-16
15,Zoe,Moreau,1951-01-08
16,Sora,Moore,1994-03-15
17,Riley,Ito,1959-07-11
18,Hana,Thomas,1997-12-26
19,Ishan,Robinson,1991-10-10
20,Noah,Ito,2002-07-20
21,William,Anderson,1987-05-03
22,Mateo,Bianchi,1960-02-19
23,Lea,Martin,1984-02-18
24,Noah,Khan,2002-05-25
25,Elijah,Kim,1960-11-10
26,Liam,Anderson,1944-02-08
27,Chloe,Park,1945-07-16
28,Akira,Patel,1988-01-27
29,Claire,Bernard,1964-08-03
30,Parker,Romano,1983-10-09
31,William,Taylor,1969-01-10
32,Louis,Thompson,1968-03-16
33,Jamie,Ito,1954-04-04
34,Carlos,Watanabe,2000-04-18
35,Mia,Esposito,1942-02-09
36,Sofia,Romano,2000-08-20
37,Avery,Costa,1972-12-07
38,Lucia,Taylor,1980-03-05
39,Keiko,Harris,1959-03-11
40,Kai,Wilson,1989-08-14
41,Adele,Russo,1984-05-17
42,Aria,Garcia,1993-11-22
43,Parker,Clark,1943-03-12
44,Zoe,Martinez,1941-02-15
45,Lucas,Ito,1997-10-15
46,Daniel,Kim,1990-05-02
47,Chloe,Gonzalez,1987-01-07
48,Daniel,Anderson,2001-04-24
49,Noah,Johnson,1944-09-12
50,Emma,Moore,1984-06-25
51,Nathan,Kim,1942-03-14
52,Charlotte,Rodriguez,1941-11-28
53,Cameron,Moore,1985-05-03
54,Hugo,Jones,2000-09-24
55,Avery,Martin,1955-07-18
56,Mia,Johnson,2003-09-19
57,Oliver,White,1963-11-16
58,Rowan,Thompson,1978-03-19
59,Adele,Martin,1957-03-21
60,Lea,Williams,1986-12-07
61,Cameron,Jackson,1940-06-17
62,Chloe,Miller,1997-12-05
63,Amelia,Esposito,1971-06-02
64,Ava,Martin,1946-01-17
65,Zoe,Davis,1974-11-20
66,Noah,Taylor,1991-03-18
67,Skyler,Tanaka,1983-02-26
68,Adele,Thomas,1971-09-11
69,Alexander,Lopez,1986-10-10
70,Lucas,Smith,2002-04-13
71,Noah,Thompson,1998-09-10
72,Skyler,Brown,1990-04-13
73,Alexander,Anderson,1988-05-21
74,Lucas,Clark,1968-06-07
75,Lucas,Costa,1940-02-19
76,Sofia,Moore,1962-08-19
77,Adele,Romano,1977-05-01
78,Lucas,Gonzalez,1986-07-20
79,Elijah,Wilson,1945-07-15
80,Zoe,Thomas,1943-03-26
81,Skyler,Moore,1974-02-25
82,Charlotte,Wilson,1941-06-07
83,Liam,Bianchi,1944-07-18
84,Oliver,Wilson,1941-03-11
85,Aarav,Williams,1987-03-28
86,Chloe,Thompson,1953-11-14
87,Louis,Costa,1990-07-25
88,Samuel,Lewis,1949-11-14
89,Mila,Dubois,1956-03-09
90,Mateo,Lee,1984-01-07
91,Taylor,Suzuki,1942-09-12
92,William,Esposito,1978-08-13
93,Chloe,Robinson,1997-01-23
94,Daniel,Kobayashi,1997-04-10
95,Noe,Garcia,1960-01-23
96,Mateo,Petit,1953-10-21
97,Cameron,Jackson,1941-06-28
98,James,Garcia,1984-05-19
